genename	refseq
KATNAL1	NM_001014380
GJA10	NM_032602
CASP8AP2	NM_012115
CASP8AP2	NM_001137667
CASP8AP2	NM_001137668
UBE2L5	NM_001355247
CXADR	NM_001338
CXADR	NM_001207063
CXADR	NM_001207065
CXADR	NM_001207064
CXADR	NM_001207066
USPL1	NM_005800
USPL1	NM_001321532
USPL1	NM_001321533
USPL1	NM_001321534
URAD	NM_001105577
HMGB1	NM_002128
HMGB1	NM_001370340
HMGB1	NM_001313893
HMGB1	NM_001313892
HMGB1	NM_001370341
HMGB1	NM_001363661
HMGB1	NM_001370339
OBP2B	NM_014581
OBP2B	NM_001288987
SURF6	NM_006753
SURF6	NM_001278942
MED22	NM_133640
MED22	NM_181491
KPNA3	NM_002267
URB1	NM_014825
RPL7A	NM_000972
KRTAP25-1	NM_001128598
SURF1	NM_003172
SURF1	NM_001280787
SURF2	NM_017503
SURF2	NM_001278928
CRYL1	NM_015974
CRYL1	NM_001363647
SURF4	NM_001280790
SURF4	NM_001280788
SURF4	NM_001280793
SURF4	NM_001280791
SURF4	NM_001280792
SURF4	NM_033161
SURF4	NM_001280789
STKLD1	NM_153710
REXO4	NM_001279349
REXO4	NM_001279351
REXO4	NM_001279350
REXO4	NM_020385
CDX2	NM_001354700
CDX2	NM_001265
JAM2	NM_001270408
ADAMTS13	NM_139025
JAM2	NM_021219
JAM2	NM_001270407
ADAMTS13	NM_139027
ADAMTS13	NM_139026
CACFD1	NM_001242370
CACFD1	NM_001242369
CACFD1	NM_001135775
CACFD1	NM_017586
SLC2A6	NM_017585
SLC2A6	NM_001145099
ABO	NM_020469
CLDN17	NM_012131
CAB39L	NM_030925
CAB39L	NM_001079670
CAB39L	NM_001287337
CYYR1	NM_052954
CYYR1	NM_001320768
CAB39L	NM_001287338
CAB39L	NM_001287339
MRPS6	NM_032476
KRTAP24-1	NM_001085455
SLC5A3	NM_006933
DNAJC15	NM_013238
GPR12	NM_005288
CHAF1B	NM_005441
WASF3	NM_006646
WASF3	NM_001291965
TNK1	NM_003985
TNK1	NM_001251902
PLSCR3	NM_001369421
PLSCR3	NM_001369420
PLSCR3	NM_020360
PLSCR3	NM_001369407
PLSCR3	NM_001369422
PLSCR3	NM_001201576
TMEM256	NM_152766
NLGN2	NM_020795
SPEM1	NM_199339
SPEM2	NM_175734
SPEM3	NM_001364708
SPEM3	NM_001364672
TMEM102	NM_178518
TMEM102	NM_001320444
FGF11	NM_004112
FGF11	NM_001303460
CHRNB1	NM_000747
ZBTB4	NM_020899
ZBTB4	NM_001128833
SLC35G6	NM_001102614
POLR2A	NM_000937
SCAF4	NM_020706
SCAF4	NM_001145445
SCAF4	NM_001145444
NCAM2	NM_001352591
NCAM2	NM_004540
NCAM2	NM_001352595
NCAM2	NM_001352593
NCAM2	NM_001352594
NCAM2	NM_001352596
NCAM2	NM_001352592
CLDN8	NM_199328
C21orf140	NM_001282537
NAT8	NM_003960
TPRKB	NM_001330391
TPRKB	NM_001330389
TPRKB	NM_001330392
TPRKB	NM_016058
TPRKB	NM_001330388
TPRKB	NM_001330386
TPRKB	NM_001330390
TPRKB	NM_001330387
DUSP11	NM_003584
KAT6B	NM_001370136
KAT6B	NM_001370140
KAT6B	NM_001370141
KAT6B	NM_001370134
KAT6B	NM_001370143
KAT6B	NM_001370144
C2orf78	NM_001353344
C2orf78	NM_001080474
KAT6B	NM_001370133
KAT6B	NM_001370139
KAT6B	NM_001256469
KAT6B	NM_001370132
KAT6B	NM_001256468
HUNK	NM_014586
KAT6B	NM_001370142
KAT6B	NM_001370137
KAT6B	NM_012330
KAT6B	NM_001370138
C21orf91	NM_001100420
C21orf91	NM_017447
C21orf91	NM_001100421
DUSP29	NM_001003892
DUSP29	NM_001384909
POSTN	NM_001330517
POSTN	NM_006475
POSTN	NM_001286665
POSTN	NM_001135936
POSTN	NM_001135934
MORC3	NM_001320446
MORC3	NM_015358
MORC3	NM_001320445
POSTN	NM_001135935
POSTN	NM_001286667
POSTN	NM_001286666
RPS6KA1	NM_002953
RPS6KA1	NM_001330441
RPS6KA1	NM_001006665
FNDC3A	NM_001079673
FNDC3A	NM_014923
FNDC3A	NM_001278438
PAXBP1	NM_016631
LHFPL6	NM_005780
PAXBP1	NM_013329
C21orf62	NM_001162496
C21orf62	NM_019596
C21orf62	NM_001162495
AKAP11	NM_016248
MZT1	NM_001071775
PROSER1	NM_025138
CENATAC	NM_198489
PROSER1	NM_170719
RPS25	NM_001028
ERICH6B	NM_182542
TRAPPC4	NM_001318490
TRAPPC4	NM_001318494
TRAPPC4	NM_001318489
TRAPPC4	NM_001318488
TRAPPC4	NM_001318492
TRAPPC4	NM_016146
TRAPPC4	NM_001318486
HYOU1	NM_001411041
HYOU1	NM_001130991
HYOU1	NM_006389
PIBF1	NM_001349655
PIBF1	NM_006346
VPS11	NM_001378218
VPS11	NM_001378219
VPS11	NM_021729
VPS11	NM_001378220
VPS11	NM_001290185
VPS11	NM_001378221
SLC37A4	NM_001164278
SLC37A4	NM_001164277
SLC37A4	NM_001467
SLC37A4	NM_001164280
SLC37A4	NM_001164279
BORA	NM_001286746
BORA	NM_024808
BORA	NM_001286747
BORA	NM_001366664
KLHL1	NM_020866
KLHL1	NM_001286725
IBTK	NM_015525
IBTK	NM_001300906
GTF3A	NM_002097
